sentence,entities
কাস্টমার আইডি আইডি-31941 এর ০১৬46786766 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-31941', 'phoneno': '০১৬46786766'}"
সৈয়দ মুজতবা আলী এর লেখা হিমু বইটি অনন্য প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'হিমু', 'publishername': 'অনন্য প্রকাশন'}"
রবীন্দ্রনাথ ঠাকুর এর লেখা শঙ্খনীল কারাগার বইটি অনন্য প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'শঙ্খনীল কারাগার', 'publishername': 'অনন্য প্রকাশন'}"
আহসান হাবীব এর লেখা পদ্মা নদীর মাঝি বইটি বাংলা একাডেমী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'বাংলা একাডেমী'}"
27/12/2024 থেকে বাংলা একাডেমী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '27/12/2024', 'publishername': 'বাংলা একাডেমী'}"
অর্ডার নং অর্ডার-9326 এর জন্য টিআরএক্স-472912 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-9326', 'trnx': 'টিআরএক্স-472912'}"
"রহিম আহমেদ 25/11/2024 তারিখে বনানী, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'রহিম আহমেদ', 'date': '25/11/2024', 'address': 'বনানী, ঢাকা'}"
বাংলা একাডেমী থেকে ইতিহাস বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'বাংলা একাডেমী', 'categoryname': 'ইতিহাস'}"
09/09/2024 তারিখে অর্ডার-1683 অর্ডারটি ০১৫42457165 নম্বরে ডেলিভারি হবে।,"{'date': '09/09/2024', 'orderno': 'অর্ডার-1683', 'phoneno': '০১৫42457165'}"
রহিম আহমেদ সম্প্রতি সীমানা ছাড়িয়ে বইটি কিনেছেন।,"{'username': 'রহিম আহমেদ', 'bookname': 'সীমানা ছাড়িয়ে'}"
"তানভীর আহমেদ 22/04/2024 তারিখে গুলশান-২, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'তানভীর আহমেদ', 'date': '22/04/2024', 'address': 'গুলশান-২, ঢাকা'}"
সৈয়দ মুজতবা আলী এর নতুন বই দেয়াল এর প্রি-অর্ডার অর্ডার-2974 চলছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'দেয়াল', 'orderno': 'অর্ডার-2974'}"
"রহিম আহমেদ শান্তিনগর, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'রহিম আহমেদ', 'address': 'শান্তিনগর, ঢাকা', 'productname': 'টেলিভিশন'}"
সৈয়দ মুজতবা আলী এর লেখা দেয়াল বইটি অনন্য প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'দেয়াল', 'publishername': 'অনন্য প্রকাশন'}"
সাদিয়া আক্তার এর ফ্রিজ অর্ডার অর্ডার-6469 প্রস্তুত।,"{'username': 'সাদিয়া আক্তার', 'productname': 'ফ্রিজ', 'orderno': 'অর্ডার-6469'}"
"তানভীর আহমেদ উত্তরা, ঢাকা থেকে স্মার্টওয়াচ কিনেছেন।","{'username': 'তানভীর আহমেদ', 'address': 'উত্তরা, ঢাকা', 'productname': 'স্মার্টওয়াচ'}"
"সাদিয়া আক্তার 12/08/2024 তারিখে উত্তরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'সাদিয়া আক্তার', 'date': '12/08/2024', 'address': 'উত্তরা, ঢাকা'}"
হুয়াওয়ে এর নতুন ল্যাপটপ এর দাম জানতে ০১৮73733715 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'ল্যাপটপ', 'phoneno': '০১৮73733715'}"
গ্রাহক আইডি-20968 টিআরএক্স-265649 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-20968', 'trnx': 'টিআরএক্স-265649'}"
13/01/2024 থেকে বাংলা একাডেমী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '13/01/2024', 'publishername': 'বাংলা একাডেমী'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর নতুন বই লাল সবুজ এর প্রি-অর্ডার অর্ডার-1506 চলছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'লাল সবুজ', 'orderno': 'অর্ডার-1506'}"
জ্ঞানকোষ প্রকাশনী থেকে ভ্রমণ বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'জ্ঞানকোষ প্রকাশনী', 'categoryname': 'ভ্রমণ'}"
হাইয়ার এর নতুন ট্যাবলেট এর দাম জানতে ০১৭66813603 নম্বরে কল করুন।,"{'brandname': 'হাইয়ার', 'productname': 'ট্যাবলেট', 'phoneno': '০১৭66813603'}"
গ্রাহক আইডি-12666 টিআরএক্স-636691 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-12666', 'trnx': 'টিআরএক্স-636691'}"
"আহসান হাবীব এর কবিতা বইগুলি এখন পূর্বাচল, ঢাকা এ পাওয়া যাবে।","{'authorname': 'আহসান হাবীব', 'categoryname': 'কবিতা', 'address': 'পূর্বাচল, ঢাকা'}"
সাহিত্য প্রকাশ থেকে ভ্রমণ বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'সাহিত্য প্রকাশ', 'categoryname': 'ভ্রমণ'}"
অনন্য প্রকাশন থেকে রহস্য বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'অনন্য প্রকাশন', 'categoryname': 'রহস্য'}"
02/08/2024 তারিখে অর্ডার-1246 অর্ডারটি ০১৮32441137 নম্বরে ডেলিভারি হবে।,"{'date': '02/08/2024', 'orderno': 'অর্ডার-1246', 'phoneno': '০১৮32441137'}"
ফাতেমা বেগম এর ফ্রিজ অর্ডার অর্ডার-8218 প্রস্তুত।,"{'username': 'ফাতেমা বেগম', 'productname': 'ফ্রিজ', 'orderno': 'অর্ডার-8218'}"
"সুফিয়া কামাল এর বিজ্ঞান বইগুলি এখন রামপুরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'বিজ্ঞান', 'address': 'রামপুরা, ঢাকা'}"
রবীন্দ্রনাথ ঠাকুর এর নতুন বই শঙ্খনীল কারাগার এর প্রি-অর্ডার অর্ডার-4973 চলছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'শঙ্খনীল কারাগার', 'orderno': 'অর্ডার-4973'}"
নাসরিন সুলতানা এর এসি অর্ডার অর্ডার-3751 প্রস্তুত।,"{'username': 'নাসরিন সুলতানা', 'productname': 'এসি', 'orderno': 'অর্ডার-3751'}"
ফাতেমা বেগম সম্প্রতি নক্ষত্রের রাত বইটি কিনেছেন।,"{'username': 'ফাতেমা বেগম', 'bookname': 'নক্ষত্রের রাত'}"
অ্যাপল এর কবিতা পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'অ্যাপল', 'categoryname': 'কবিতা'}"
"করিম খান বারিধারা, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'করিম খান', 'address': 'বারিধারা, ঢাকা', 'productname': 'ট্যাবলেট'}"
আমিনা খাতুন এর ওয়াশিং মেশিন অর্ডার অর্ডার-5785 প্রস্তুত।,"{'username': 'আমিনা খাতুন', 'productname': 'ওয়াশিং মেশিন', 'orderno': 'অর্ডার-5785'}"
অর্ডার নং অর্ডার-1041 এর জন্য টিআরএক্স-447497 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-1041', 'trnx': 'টিআরএক্স-447497'}"
হাইয়ার এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৭70579579 নম্বরে কল করুন।,"{'brandname': 'হাইয়ার', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৭70579579'}"
বেগম রোকেয়া এর নতুন বই আমি বীরাঙ্গনা বলছি এর প্রি-অর্ডার অর্ডার-4734 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'orderno': 'অর্ডার-4734'}"
23/10/2024 তারিখে অর্ডার-9029 অর্ডারটি ০১৫58216233 নম্বরে ডেলিভারি হবে।,"{'date': '23/10/2024', 'orderno': 'অর্ডার-9029', 'phoneno': '০১৫58216233'}"
হাইয়ার এর আত্মজীবনী পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হাইয়ার', 'categoryname': 'আত্মজীবনী'}"
হাইয়ার এর রোমাঞ্চ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হাইয়ার', 'categoryname': 'রোমাঞ্চ'}"
"করিম খান 28/10/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '28/10/2024', 'address': 'বারিধারা, ঢাকা'}"
সনি এর রহস্য পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'সনি', 'categoryname': 'রহস্য'}"
সময় প্রকাশন থেকে আত্মজীবনী বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'সময় প্রকাশন', 'categoryname': 'আত্মজীবনী'}"
নাজমুল হক এর এসি অর্ডার অর্ডার-3801 প্রস্তুত।,"{'username': 'নাজমুল হক', 'productname': 'এসি', 'orderno': 'অর্ডার-3801'}"
সাদিয়া আক্তার এর মাইক্রোওয়েভ অভেন অর্ডার অর্ডার-9329 প্রস্তুত।,"{'username': 'সাদিয়া আক্তার', 'productname': 'মাইক্রোওয়েভ অভেন', 'orderno': 'অর্ডার-9329'}"
09/06/2024 তারিখে অর্ডার-4728 অর্ডারটি ০১৪35452410 নম্বরে ডেলিভারি হবে।,"{'date': '09/06/2024', 'orderno': 'অর্ডার-4728', 'phoneno': '০১৪35452410'}"
গ্রাহক আইডি-96996 টিআরএক্স-736359 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-96996', 'trnx': 'টিআরএক্স-736359'}"
অর্ডার নং অর্ডার-7957 এর জন্য টিআরএক্স-455421 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-7957', 'trnx': 'টিআরএক্স-455421'}"
গ্রাহক আইডি-46116 টিআরএক্স-661981 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-46116', 'trnx': 'টিআরএক্স-661981'}"
গ্রাহক আইডি-64433 টিআরএক্স-369874 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-64433', 'trnx': 'টিআরএক্স-369874'}"
16/01/2024 তারিখে অর্ডার-6515 অর্ডারটি ০১৮47930850 নম্বরে ডেলিভারি হবে।,"{'date': '16/01/2024', 'orderno': 'অর্ডার-6515', 'phoneno': '০১৮47930850'}"
কাস্টমার আইডি আইডি-30648 এর ০১৮59274610 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-30648', 'phoneno': '০১৮59274610'}"
11/06/2024 থেকে বাংলা একাডেমী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '11/06/2024', 'publishername': 'বাংলা একাডেমী'}"
অ্যাপল এর উপন্যাস পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'অ্যাপল', 'categoryname': 'উপন্যাস'}"
জামিল হোসেন সম্প্রতি পদ্মা নদীর মাঝি বইটি কিনেছেন।,"{'username': 'জামিল হোসেন', 'bookname': 'পদ্মা নদীর মাঝি'}"
ওয়ালটন এর নতুন স্মার্টওয়াচ এর দাম জানতে ০১৮30133070 নম্বরে কল করুন।,"{'brandname': 'ওয়ালটন', 'productname': 'স্মার্টওয়াচ', 'phoneno': '০১৮30133070'}"
নাসরিন সুলতানা সম্প্রতি সীমানা ছাড়িয়ে বইটি কিনেছেন।,"{'username': 'নাসরিন সুলতানা', 'bookname': 'সীমানা ছাড়িয়ে'}"
সুফিয়া কামাল এর নতুন বই আমি বীরাঙ্গনা বলছি এর প্রি-অর্ডার অর্ডার-4915 চলছে।,"{'authorname': 'সুফিয়া কামাল', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'orderno': 'অর্ডার-4915'}"
"নাসরিন সুলতানা মোহাম্মদপুর, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'নাসরিন সুলতানা', 'address': 'মোহাম্মদপুর, ঢাকা', 'productname': 'টেলিভিশন'}"
03/08/2024 তারিখে অর্ডার-3529 অর্ডারটি ০১৫81322480 নম্বরে ডেলিভারি হবে।,"{'date': '03/08/2024', 'orderno': 'অর্ডার-3529', 'phoneno': '০১৫81322480'}"
কাস্টমার আইডি আইডি-10782 এর ০১৮11845480 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-10782', 'phoneno': '০১৮11845480'}"
"নাজমুল হক মিরপুর-১০, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'নাজমুল হক', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
"করিম খান 15/11/2024 তারিখে গুলশান-২, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '15/11/2024', 'address': 'গুলশান-২, ঢাকা'}"
জাহিদ হাসান সম্প্রতি সীমানা ছাড়িয়ে বইটি কিনেছেন।,"{'username': 'জাহিদ হাসান', 'bookname': 'সীমানা ছাড়িয়ে'}"
08/09/2024 থেকে নলেজ হাউস এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '08/09/2024', 'publishername': 'নলেজ হাউস'}"
03/11/2024 থেকে অনন্য প্রকাশন এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '03/11/2024', 'publishername': 'অনন্য প্রকাশন'}"
গ্রাহক আইডি-21159 টিআরএক্স-342677 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-21159', 'trnx': 'টিআরএক্স-342677'}"
"সাদিয়া আক্তার মিরপুর-১০, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'সাদিয়া আক্তার', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
সাদিয়া আক্তার সম্প্রতি সীমানা ছাড়িয়ে বইটি কিনেছেন।,"{'username': 'সাদিয়া আক্তার', 'bookname': 'সীমানা ছাড়িয়ে'}"
আদর্শ প্রকাশন থেকে বিজ্ঞান বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'আদর্শ প্রকাশন', 'categoryname': 'বিজ্ঞান'}"
কাস্টমার আইডি আইডি-95637 এর ০১৪96471813 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-95637', 'phoneno': '০১৪96471813'}"
হাইয়ার এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৪30360880 নম্বরে কল করুন।,"{'brandname': 'হাইয়ার', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৪30360880'}"
"আমিনা খাতুন মোহাম্মদপুর, ঢাকা থেকে ল্যাপটপ কিনেছেন।","{'username': 'আমিনা খাতুন', 'address': 'মোহাম্মদপুর, ঢাকা', 'productname': 'ল্যাপটপ'}"
"সুফিয়া কামাল এর বিজ্ঞান বইগুলি এখন মিরপুর-১০, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'বিজ্ঞান', 'address': 'মিরপুর-১০, ঢাকা'}"
11/10/2024 থেকে সময় প্রকাশন এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '11/10/2024', 'publishername': 'সময় প্রকাশন'}"
সামসাং এর নতুন ল্যাপটপ এর দাম জানতে ০১৮91840224 নম্বরে কল করুন।,"{'brandname': 'সামসাং', 'productname': 'ল্যাপটপ', 'phoneno': '০১৮91840224'}"
করিম খান সম্প্রতি শঙ্খনীল কারাগার বইটি কিনেছেন।,"{'username': 'করিম খান', 'bookname': 'শঙ্খনীল কারাগার'}"
"নাজমুল হক উত্তরা, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'নাজমুল হক', 'address': 'উত্তরা, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-5457 চলছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-5457'}"
06/09/2024 তারিখে অর্ডার-3386 অর্ডারটি ০১৩21583140 নম্বরে ডেলিভারি হবে।,"{'date': '06/09/2024', 'orderno': 'অর্ডার-3386', 'phoneno': '০১৩21583140'}"
12/07/2024 থেকে বিশ্বসাহিত্য কেন্দ্র এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '12/07/2024', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
"সৈয়দ শামসুল হক এর ভ্রমণ বইগুলি এখন মিরপুর-১০, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ শামসুল হক', 'categoryname': 'ভ্রমণ', 'address': 'মিরপুর-১০, ঢাকা'}"
30/03/2024 তারিখে অর্ডার-9351 অর্ডারটি ০১৭54532411 নম্বরে ডেলিভারি হবে।,"{'date': '30/03/2024', 'orderno': 'অর্ডার-9351', 'phoneno': '০১৭54532411'}"
এলজি এর নতুন ট্যাবলেট এর দাম জানতে ০১৮95185056 নম্বরে কল করুন।,"{'brandname': 'এলজি', 'productname': 'ট্যাবলেট', 'phoneno': '০১৮95185056'}"
29/10/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '29/10/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
সনি এর নতুন টেলিভিশন এর দাম জানতে ০১৯91518027 নম্বরে কল করুন।,"{'brandname': 'সনি', 'productname': 'টেলিভিশন', 'phoneno': '০১৯91518027'}"
করিম খান সম্প্রতি লাল সবুজ বইটি কিনেছেন।,"{'username': 'করিম খান', 'bookname': 'লাল সবুজ'}"
তানভীর আহমেদ এর মাইক্রোওয়েভ অভেন অর্ডার অর্ডার-5991 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'মাইক্রোওয়েভ অভেন', 'orderno': 'অর্ডার-5991'}"
আহসান হাবীব এর লেখা আগুনের পরশমণি বইটি সাহিত্য প্রকাশ থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'আগুনের পরশমণি', 'publishername': 'সাহিত্য প্রকাশ'}"
কাস্টমার আইডি আইডি-73477 এর ০১৫58791578 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-73477', 'phoneno': '০১৫58791578'}"
"জামিল হোসেন উত্তরা, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'জামিল হোসেন', 'address': 'উত্তরা, ঢাকা', 'productname': 'টেলিভিশন'}"
02/08/2024 থেকে বিশ্বসাহিত্য কেন্দ্র এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '02/08/2024', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
কাজী নজরুল ইসলাম এর নতুন বই পদ্মা নদীর মাঝি এর প্রি-অর্ডার অর্ডার-7337 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'পদ্মা নদীর মাঝি', 'orderno': 'অর্ডার-7337'}"
সাদিয়া আক্তার এর ল্যাপটপ অর্ডার অর্ডার-2683 প্রস্তুত।,"{'username': 'সাদিয়া আক্তার', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-2683'}"
করিম খান সম্প্রতি সীমানা ছাড়িয়ে বইটি কিনেছেন।,"{'username': 'করিম খান', 'bookname': 'সীমানা ছাড়িয়ে'}"
"করিম খান 07/03/2024 তারিখে পূর্বাচল, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '07/03/2024', 'address': 'পূর্বাচল, ঢাকা'}"
জামিল হোসেন এর মাইক্রোওয়েভ অভেন অর্ডার অর্ডার-1691 প্রস্তুত।,"{'username': 'জামিল হোসেন', 'productname': 'মাইক্রোওয়েভ অভেন', 'orderno': 'অর্ডার-1691'}"
"ফাতেমা বেগম গুলশান-২, ঢাকা থেকে ওয়াশিং মেশিন কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'গুলশান-২, ঢাকা', 'productname': 'ওয়াশিং মেশিন'}"
অর্ডার নং অর্ডার-1647 এর জন্য টিআরএক্স-783132 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-1647', 'trnx': 'টিআরএক্স-783132'}"
"রবীন্দ্রনাথ ঠাকুর এর গল্প বইগুলি এখন মিরপুর-১০, ঢাকা এ পাওয়া যাবে।","{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'categoryname': 'গল্প', 'address': 'মিরপুর-১০, ঢাকা'}"
হুয়াওয়ে এর নতুন ইনভার্টার এর দাম জানতে ০১৬25475869 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'ইনভার্টার', 'phoneno': '০১৬25475869'}"
হুমায়ূন আহমেদ এর নতুন বই শঙ্খনীল কারাগার এর প্রি-অর্ডার অর্ডার-9492 চলছে।,"{'authorname': 'হুমায়ূন আহমেদ', 'bookname': 'শঙ্খনীল কারাগার', 'orderno': 'অর্ডার-9492'}"
জসীমউদ্দীন এর লেখা সীমানা ছাড়িয়ে বইটি জ্ঞানকোষ প্রকাশনী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'সীমানা ছাড়িয়ে', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
প্যানাসনিক এর গল্প পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'প্যানাসনিক', 'categoryname': 'গল্প'}"
অর্ডার নং অর্ডার-1033 এর জন্য টিআরএক্স-296153 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-1033', 'trnx': 'টিআরএক্স-296153'}"
ওয়ালটন এর রহস্য পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'ওয়ালটন', 'categoryname': 'রহস্য'}"
সনি এর গল্প পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'সনি', 'categoryname': 'গল্প'}"
আদর্শ প্রকাশন থেকে আত্মজীবনী বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'আদর্শ প্রকাশন', 'categoryname': 'আত্মজীবনী'}"
"আমিনা খাতুন পূর্বাচল, ঢাকা থেকে ফ্রিজ কিনেছেন।","{'username': 'আমিনা খাতুন', 'address': 'পূর্বাচল, ঢাকা', 'productname': 'ফ্রিজ'}"
"সুফিয়া কামাল এর আত্মজীবনী বইগুলি এখন ধানমন্ডি, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'আত্মজীবনী', 'address': 'ধানমন্ডি, ঢাকা'}"
এলজি এর নতুন টেলিভিশন এর দাম জানতে ০১৯39941092 নম্বরে কল করুন।,"{'brandname': 'এলজি', 'productname': 'টেলিভিশন', 'phoneno': '০১৯39941092'}"
হুয়াওয়ে এর জীবনী পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হুয়াওয়ে', 'categoryname': 'জীবনী'}"
"সাদিয়া আক্তার ধানমন্ডি, ঢাকা থেকে ইনভার্টার কিনেছেন।","{'username': 'সাদিয়া আক্তার', 'address': 'ধানমন্ডি, ঢাকা', 'productname': 'ইনভার্টার'}"
অর্ডার নং অর্ডার-9204 এর জন্য টিআরএক্স-752829 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-9204', 'trnx': 'টিআরএক্স-752829'}"
তানভীর আহমেদ এর ল্যাপটপ অর্ডার অর্ডার-4259 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-4259'}"
"জাহিদ হাসান 03/07/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জাহিদ হাসান', 'date': '03/07/2024', 'address': 'বারিধারা, ঢাকা'}"
সৈয়দ মুজতবা আলী এর নতুন বই লাল সবুজ এর প্রি-অর্ডার অর্ডার-5726 চলছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'লাল সবুজ', 'orderno': 'অর্ডার-5726'}"
গ্রাহক আইডি-13997 টিআরএক্স-908664 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-13997', 'trnx': 'টিআরএক্স-908664'}"
কাজী নজরুল ইসলাম এর লেখা আমি বীরাঙ্গনা বলছি বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
জামিল হোসেন এর ল্যাপটপ অর্ডার অর্ডার-1845 প্রস্তুত।,"{'username': 'জামিল হোসেন', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-1845'}"
গ্রাহক আইডি-34763 টিআরএক্স-810886 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-34763', 'trnx': 'টিআরএক্স-810886'}"
আমিনা খাতুন সম্প্রতি পদ্মা নদীর মাঝি বইটি কিনেছেন।,"{'username': 'আমিনা খাতুন', 'bookname': 'পদ্মা নদীর মাঝি'}"
